                  1         2         3         4         5         6         7         8         9
  4.70E+00  3.17E-07  1.15E-07  5.55E-07  6.86E-07  3.94E-07  1.33E-06  2.01E-06  3.22E-06  4.20E-07
  5.06E+00  3.11E-07  1.14E-07  5.60E-07  7.05E-07  4.11E-07  1.43E-06  2.23E-06  3.70E-06  5.13E-07
  5.44E+00  3.05E-07  1.14E-07  5.67E-07  7.28E-07  4.31E-07  1.53E-06  2.51E-06  4.31E-06  6.40E-07
  5.84E+00  3.00E-07  1.14E-07  5.76E-07  7.54E-07  4.53E-07  1.65E-06  2.81E-06  5.07E-06  8.05E-07
  6.26E+00  2.94E-07  1.14E-07  5.85E-07  7.80E-07  4.75E-07  1.78E-06  3.14E-06  5.93E-06  1.01E-06
  6.70E+00  2.87E-07  1.14E-07  5.91E-07  8.04E-07  4.96E-07  1.89E-06  3.46E-06  6.86E-06  1.24E-06
  7.15E+00  2.79E-07  1.13E-07  5.95E-07  8.24E-07  5.15E-07  2.00E-06  3.77E-06  7.80E-06  1.51E-06
  7.62E+00  2.70E-07  1.12E-07  5.98E-07  8.41E-07  5.31E-07  2.09E-06  4.06E-06  8.71E-06  1.81E-06
  8.11E+00  2.47E-07  1.03E-07  5.53E-07  7.83E-07  4.96E-07  1.96E-06  3.86E-06  8.76E-06  2.04E-06
  8.62E+00  2.01E-07  8.33E-08  4.42E-07  6.20E-07  3.90E-07  1.52E-06  3.03E-06  7.65E-06  2.18E-06
  9.15E+00  1.14E-07  4.37E-08  2.20E-07  2.88E-07  1.72E-07  6.25E-07  1.31E-06  4.98E-06  2.17E-06
  9.69E+00  4.74E-08  1.74E-08  8.43E-08  1.04E-07  5.91E-08  1.93E-07  9.55E-07  7.92E-06  4.36E-06
                 10        11        12        13        14        15        16        17        18
  1.00E-05  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.78E-03
  1.25E-05  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.78E-03
  1.55E-05  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.78E-03
  1.93E-05  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.78E-03
  2.40E-05  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.78E-03
  2.97E-05  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.78E-03
  3.67E-05  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.78E-03
  4.54E-05  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.77E-03
  5.60E-05  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.77E-03
  6.89E-05  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.77E-03
  8.46E-05  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.77E-03
  1.04E-04  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.12E-04  1.16E-03  6.33E-04  4.77E-03
  1.27E-04  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.13E-04  1.16E-03  6.34E-04  4.77E-03
  1.55E-04  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.13E-04  1.16E-03  6.34E-04  4.77E-03
  1.90E-04  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.13E-04  1.16E-03  6.34E-04  4.77E-03
  2.31E-04  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.13E-04  1.15E-03  6.34E-04  4.77E-03
  2.81E-04  6.60E-07  1.20E-06  4.68E-07  7.53E-07  3.34E-07  2.13E-04  1.15E-03  6.34E-04  4.76E-03
  3.42E-04  6.60E-07  1.20E-06  4.68E-07  7.52E-07  3.34E-07  2.13E-04  1.15E-03  6.34E-04  4.76E-03
  4.14E-04  6.60E-07  1.20E-06  4.68E-07  7.52E-07  3.34E-07  2.13E-04  1.15E-03  6.34E-04  4.76E-03
  5.02E-04  6.60E-07  1.20E-06  4.68E-07  7.52E-07  3.34E-07  2.13E-04  1.15E-03  6.35E-04  4.76E-03
  6.06E-04  6.60E-07  1.20E-06  4.68E-07  7.52E-07  3.34E-07  2.13E-04  1.15E-03  6.35E-04  4.75E-03
  7.31E-04  6.60E-07  1.20E-06  4.68E-07  7.52E-07  3.34E-07  2.14E-04  1.15E-03  6.35E-04  4.75E-03
  8.81E-04  6.59E-07  1.20E-06  4.68E-07  7.52E-07  3.34E-07  2.14E-04  1.15E-03  6.35E-04  4.74E-03
  1.06E-03  6.59E-07  1.20E-06  4.68E-07  7.52E-07  3.34E-07  2.14E-04  1.15E-03  6.35E-04  4.73E-03
  1.27E-03  6.59E-07  1.20E-06  4.68E-07  7.52E-07  3.34E-07  2.15E-04  1.14E-03  6.36E-04  4.72E-03
  1.52E-03  6.59E-07  1.20E-06  4.68E-07  7.52E-07  3.34E-07  2.16E-04  1.14E-03  6.36E-04  4.70E-03
