  i  Z(km)      P(bar)      T(K)  
 17 3.3611E+06 3.4948E+01 1.9943E+02
 18 3.3001E+06 4.2985E+01 1.9962E+02
 19 3.2395E+06 5.2776E+01 1.9976E+02
 20 3.1795E+06 6.4683E+01 1.9984E+02
 21 3.1200E+06 7.9135E+01 1.9989E+02
 22 3.0610E+06 9.6643E+01 1.9991E+02
 23 3.0025E+06 1.1782E+02 1.9992E+02
 24 2.9445E+06 1.4337E+02 1.9993E+02
 25 2.8871E+06 1.7416E+02 1.9992E+02
 26 2.8303E+06 2.1118E+02 1.9992E+02
 27 2.7740E+06 2.5562E+02 1.9992E+02
 28 2.7182E+06 3.0887E+02 1.9991E+02
 29 2.6629E+06 3.7253E+02 1.9991E+02
 30 2.6082E+06 4.4853E+02 1.9991E+02
 31 2.5541E+06 5.3906E+02 1.9990E+02
 32 2.5004E+06 6.4672E+02 1.9990E+02
 33 2.4473E+06 7.7450E+02 1.9990E+02
 34 2.3948E+06 9.2587E+02 1.9990E+02
 35 2.3427E+06 1.1049E+03 1.9991E+02
 36 2.2912E+06 1.3161E+03 1.9991E+02
 37 2.2403E+06 1.5650E+03 1.9992E+02
 38 2.1898E+06 1.8576E+03 1.9992E+02
 39 2.1399E+06 2.2010E+03 1.9993E+02
 40 2.0906E+06 2.6032E+03 1.9993E+02
 41 2.0417E+06 3.0735E+03 1.9994E+02
 42 1.9934E+06 3.6223E+03 1.9994E+02
 43 1.9457E+06 4.2615E+03 1.9995E+02
 44 1.8984E+06 5.0046E+03 1.9995E+02
 45 1.8517E+06 5.8668E+03 1.9995E+02
 46 1.8056E+06 6.8653E+03 1.9995E+02
 47 1.7599E+06 8.0194E+03 1.9995E+02
 48 1.7148E+06 9.3510E+03 1.9994E+02
 49 1.6702E+06 1.0884E+04 1.9994E+02
 50 1.6262E+06 1.2646E+04 1.9994E+02
 51 1.5827E+06 1.4668E+04 1.9994E+02
 52 1.5397E+06 1.6982E+04 1.9994E+02
 53 1.4973E+06 1.9626E+04 1.9994E+02
 54 1.4553E+06 2.2642E+04 1.9994E+02
 55 1.4140E+06 2.6074E+04 1.9995E+02
 56 1.3731E+06 2.9974E+04 1.9995E+02
 57 1.3328E+06 3.4396E+04 1.9995E+02
 58 1.2930E+06 3.9399E+04 1.9995E+02
 59 1.2537E+06 4.5051E+04 1.9995E+02
 60 1.2150E+06 5.1421E+04 1.9995E+02
 61 1.1767E+06 5.8588E+04 1.9995E+02
 62 1.1391E+06 6.6635E+04 1.9995E+02
 63 1.1019E+06 7.5653E+04 1.9996E+02
 64 1.0653E+06 8.5738E+04 1.9996E+02
 65 1.0292E+06 9.6996E+04 1.9996E+02
 66 9.9362E+05 1.0954E+05 1.9997E+02
 67 9.5858E+05 1.2348E+05 1.9997E+02
 68 9.2406E+05 1.3895E+05 1.9997E+02
 69 8.9007E+05 1.5607E+05 1.9997E+02
 70 8.5661E+05 1.7500E+05 1.9998E+02
 71 8.2368E+05 1.9588E+05 1.9998E+02
 72 7.9128E+05 2.1885E+05 1.9998E+02
 73 7.5940E+05 2.4409E+05 1.9998E+02
 74 7.2805E+05 2.7175E+05 1.9998E+02
 75 6.9722E+05 3.0201E+05 1.9998E+02
 76 6.6693E+05 3.3504E+05 1.9999E+02
