  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 47 9.3510E-03 1.6299E+03 1.9612E+07
 48 1.0884E-02 1.6299E+03 1.8447E+07
 49 1.2646E-02 1.6299E+03 1.7357E+07
 50 1.4668E-02 1.6299E+03 1.6335E+07
 51 1.6982E-02 1.6299E+03 1.5376E+07
 52 1.9626E-02 1.6299E+03 1.4478E+07
 53 2.2642E-02 1.6299E+03 1.3634E+07
 54 2.6074E-02 1.6299E+03 1.2842E+07
 55 2.9974E-02 1.6299E+03 1.2097E+07
 56 3.4396E-02 1.6299E+03 1.1398E+07
 57 3.9399E-02 1.6299E+03 1.0739E+07
 58 4.5051E-02 1.6299E+03 1.0120E+07
 59 5.1421E-02 1.6299E+03 9.5360E+06
 60 5.8588E-02 1.6299E+03 8.9864E+06
 61 6.6635E-02 1.6299E+03 8.4685E+06
 62 7.5653E-02 1.6299E+03 7.9802E+06
 63 8.5738E-02 1.6299E+03 7.5196E+06
 64 9.6996E-02 1.6299E+03 7.0849E+06
 65 1.0954E-01 1.7446E+03 6.8273E+06
 66 1.2348E-01 2.2126E+03 6.9605E+06
 67 1.3895E-01 2.6801E+03 6.9868E+06
 68 1.5607E-01 3.1548E+03 6.9446E+06
 69 1.7500E-01 3.6439E+03 6.8568E+06
 70 1.9588E-01 4.1506E+03 6.7360E+06
 71 2.1885E-01 4.6736E+03 6.5890E+06
 72 2.4409E-01 5.2078E+03 6.4196E+06
 73 2.7175E-01 5.7470E+03 6.2306E+06
 74 3.0201E-01 6.2854E+03 6.0251E+06
 75 3.3504E-01 6.8186E+03 5.8061E+06
 76 3.7102E-01 7.3438E+03 5.5770E+06
 77 4.1014E-01 7.8582E+03 5.3402E+06
 78 4.5257E-01 8.3558E+03 5.0973E+06
 79 4.9851E-01 8.8193E+03 4.8478E+06
 80 5.4813E-01 9.2290E+03 4.5918E+06
 81 6.0163E-01 9.6385E+03 4.3439E+06
 82 6.5916E-01 3.8462E+04 6.4263E+06
 83 7.2092E-01 3.7682E+04 5.9714E+06
 84 7.8707E-01 3.8214E+04 5.6119E+06
 85 8.5775E-01 3.9321E+04 5.2703E+06
 86 9.3312E-01 4.1093E+04 4.9442E+06
 87 1.0133E+00 4.3383E+04 4.6212E+06
 88 1.0984E+00 4.6036E+04 4.2915E+06
 89 1.1886E+00 4.8821E+04 3.9473E+06
 90 1.2838E+00 5.1522E+04 3.5850E+06
 91 1.3843E+00 5.4420E+04 3.2146E+06
 92 1.4899E+00 5.7471E+04 2.8370E+06
 93 1.6008E+00 6.0520E+04 2.4530E+06
 94 1.7168E+00 6.3406E+04 2.0654E+06
 95 1.8380E+00 6.5970E+04 1.6789E+06
 96 1.9643E+00 6.8043E+04 1.3001E+06
 97 2.0954E+00 6.9923E+04 1.2487E+06
 98 2.2314E+00 7.1566E+04 1.2540E+06
 99 2.3720E+00 7.2726E+04 1.2556E+06
100 2.5169E+00 7.6785E+04 3.3277E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2655E-06 1.6308E+03 5.8203E+08
  2 1.5986E-06 1.6308E+03 5.1729E+08
  3 2.0159E-06 1.6308E+03 4.5294E+08
  4 2.5375E-06 1.6308E+03 4.0147E+08
  5 3.1884E-06 1.6308E+03 3.6110E+08
  6 3.9991E-06 1.6308E+03 3.2858E+08
  7 5.0071E-06 1.6308E+03 3.0074E+08
