 NST=     1

  J  FUPIR_clear  FUPSOLTOT_clear  FDNIR_clear  FDNSOLTOT_clear  FUPIR_cloudy  FUPSOLTOT_cloudy  FDNIR_cloudy  FDNSOLTOT_cloudy
 69   2.473E+05   4.181E+04   9.945E+03   3.366E+05   9.045E+04   3.134E+05   9.945E+03   3.381E+05
 70   2.474E+05   4.155E+04   1.059E+04   3.362E+05   9.045E+04   3.133E+05   1.059E+04   3.380E+05
 71   2.474E+05   4.126E+04   1.126E+04   3.358E+05   9.045E+04   3.133E+05   1.126E+04   3.377E+05
 72   2.475E+05   4.095E+04   1.196E+04   3.354E+05   9.045E+04   3.132E+05   1.196E+04   3.375E+05
 73   2.476E+05   4.061E+04   1.269E+04   3.349E+05   9.045E+04   3.131E+05   1.269E+04   3.373E+05
 74   2.478E+05   4.024E+04   1.345E+04   3.344E+05   9.045E+04   3.130E+05   1.345E+04   3.370E+05
 75   2.479E+05   3.984E+04   1.423E+04   3.338E+05   9.045E+04   3.129E+05   1.423E+04   3.368E+05
 76   2.481E+05   3.941E+04   1.503E+04   3.332E+05   9.045E+04   3.129E+05   1.503E+04   3.365E+05
 77   2.484E+05   3.894E+04   1.585E+04   3.326E+05   9.046E+04   3.128E+05   1.585E+04   3.362E+05
 78   2.486E+05   3.844E+04   1.670E+04   3.319E+05   9.046E+04   3.127E+05   1.670E+04   3.359E+05
 79   2.490E+05   3.790E+04   1.758E+04   3.312E+05   9.047E+04   3.126E+05   1.758E+04   3.356E+05
 80   2.495E+05   3.733E+04   1.850E+04   3.304E+05   9.050E+04   3.125E+05   1.850E+04   3.353E+05
 81   2.501E+05   3.671E+04   1.944E+04   3.296E+05   9.064E+04   3.124E+05   1.944E+04   3.351E+05
 82   2.513E+05   3.605E+04   2.063E+04   3.287E+05   9.093E+04   3.123E+05   2.065E+04   3.349E+05
 83   2.530E+05   3.535E+04   2.255E+04   3.278E+05   1.007E+05   3.014E+05   9.895E+04   3.133E+05
 84   2.553E+05   3.461E+04   2.571E+04   3.268E+05   1.114E+05   2.939E+05   1.097E+05   3.046E+05
 85   2.580E+05   3.382E+04   3.071E+04   3.256E+05   1.231E+05   2.826E+05   1.215E+05   2.926E+05
 86   2.612E+05   3.299E+04   3.790E+04   3.241E+05   1.357E+05   2.695E+05   1.343E+05   2.788E+05
 87   2.651E+05   3.211E+04   4.732E+04   3.222E+05   1.492E+05   2.550E+05   1.479E+05   2.635E+05
 88   2.697E+05   3.118E+04   5.877E+04   3.199E+05   1.636E+05   2.389E+05   1.625E+05   2.467E+05
 89   2.751E+05   3.020E+04   7.197E+04   3.170E+05   1.789E+05   2.211E+05   1.779E+05   2.283E+05
 90   2.812E+05   2.918E+04   8.656E+04   3.136E+05   1.951E+05   2.019E+05   1.942E+05   2.085E+05
 91   2.882E+05   2.811E+04   1.025E+05   3.096E+05   2.118E+05   1.816E+05   2.110E+05   1.875E+05
 92   2.959E+05   2.699E+04   1.197E+05   3.052E+05   2.291E+05   1.598E+05   2.284E+05   1.654E+05
 93   3.043E+05   2.582E+04   1.382E+05   3.003E+05   2.468E+05   1.364E+05   2.461E+05   1.418E+05
 94   3.133E+05   2.461E+04   1.575E+05   2.951E+05   2.645E+05   1.121E+05   2.639E+05   1.171E+05
 95   3.227E+05   2.336E+04   1.770E+05   2.897E+05   2.821E+05   8.742E+04   2.816E+05   9.220E+04
 96   3.326E+05   2.207E+04   1.962E+05   2.841E+05   2.995E+05   6.300E+04   2.990E+05   6.752E+04
 97   3.429E+05   2.076E+04   2.152E+05   2.785E+05   3.173E+05   3.960E+04   3.167E+05   4.397E+04
 98   3.537E+05   1.942E+04   2.343E+05   2.728E+05   3.354E+05   1.937E+04   3.347E+05   2.366E+04
 99   3.644E+05   1.806E+04   2.537E+05   2.673E+05   3.538E+05   4.927E+03   3.522E+05   9.184E+03
100   3.742E+05   1.671E+04   2.742E+05   2.618E+05   3.742E+05   2.827E+02   3.691E+05   4.532E+03
101   3.788E+05   1.539E+04   2.916E+05   2.565E+05   3.788E+05   2.637E+02   3.741E+05   4.395E+03
 NST=     3

  J  FUPIR_clear  FUPSOLTOT_clear  FDNIR_clear  FDNSOLTOT_clear  FUPIR_cloudy  FUPSOLTOT_cloudy  FDNIR_cloudy  FDNSOLTOT_cloudy
  1   2.451E+05   4.418E+04   0.000E+00   3.418E+05   9.022E+04   3.136E+05   0.000E+00   3.418E+05
  2   2.451E+05   4.418E+04   1.765E+00   3.418E+05   9.023E+04   3.136E+05   1.894E+00   3.418E+05
  3   2.451E+05   4.418E+04   4.887E+00   3.418E+05   9.022E+04   3.136E+05   5.114E+00   3.418E+05
  4   2.451E+05   4.418E+04   7.843E+00   3.418E+05   9.022E+04   3.136E+05   7.555E+00   3.418E+05
  5   2.451E+05   4.418E+04   1.069E+01   3.418E+05   9.022E+04   3.136E+05   1.058E+01   3.418E+05
  6   2.451E+05   4.418E+04   1.384E+01   3.418E+05   9.022E+04   3.136E+05   1.348E+01   3.418E+05
